policy,candidate,fold,era,first_timestamp,bucket_index,observation_count,minimum_candidate_value,maximum_candidate_value,mean_next_net_return,mean_next_gross_return,mean_next_cost_ratio,mean_forward_max_drawdown
rule,realized_market_volatility,2022,2019-2025,2022-03-31T00:00:00+01:00,0,59,0.004808440516289009,0.00601457829802052,-0.0004734824775703915,-0.00034920121547091324,0.0001241447670705145,0.03990972749844894
rule,realized_market_volatility,2022,2019-2025,2022-03-31T00:00:00+01:00,1,59,0.006014953197817504,0.007163985931817227,-0.0005754275824385962,-0.0004399400484384362,0.00013534969340473103,0.022764918603588327
rule,realized_market_volatility,2022,2019-2025,2022-03-31T00:00:00+01:00,2,59,0.007205677574660249,0.008989419077273608,0.0014404438955255502,0.00157990767323942,0.00013963866784873975,0.015121851139483099
rule,realized_market_volatility,2023,2019-2025,2023-03-30T00:00:00+01:00,0,60,0.0032675698066190113,0.004640872580537529,0.00043715904134154066,0.0005649427563870255,0.00012780465233621036,0.012444247612778382
rule,realized_market_volatility,2023,2019-2025,2023-03-30T00:00:00+01:00,1,59,0.004679452868986852,0.005964560960832132,-0.0009120260900095215,-0.0007762872156787782,0.0001355826841063446,0.03003049093606494
rule,realized_market_volatility,2023,2019-2025,2023-03-30T00:00:00+01:00,2,59,0.005968492189409505,0.006797480737313316,0.00019530026407609091,0.00032651096580564256,0.00013127119727118872,0.018727137908363573
rule,realized_market_volatility,2024,2019-2025,2024-03-28T00:00:00+00:00,0,60,0.002871436763467021,0.004955875151972427,-0.00019849776998415492,-5.2674222011182046e-05,0.00014575185090070746,0.021029911947886677
rule,realized_market_volatility,2024,2019-2025,2024-03-28T00:00:00+00:00,1,60,0.004970223474932066,0.005927838651193171,-0.0003816922531550625,-0.0002495573490384876,0.00013206175911999575,0.01173646470483528
rule,realized_market_volatility,2024,2019-2025,2024-03-28T00:00:00+00:00,2,59,0.005955193323086478,0.007843871926996964,0.0020446257647840412,0.002199325643528211,0.00015497535406616374,0.007222312051085862
rule,realized_market_volatility,2025,2019-2025,2025-04-01T00:00:00+01:00,0,58,0.002425458799927306,0.004111890580676878,0.0004580352882907915,0.000601189743012411,0.00014323495950956447,0.006853373192587532
rule,realized_market_volatility,2025,2019-2025,2025-04-01T00:00:00+01:00,1,58,0.004116246242207207,0.0048030667900995205,0.0013867287236897679,0.0015433511048885715,0.00015684222587469357,0.009532971232054857
rule,realized_market_volatility,2025,2019-2025,2025-04-01T00:00:00+01:00,2,58,0.004830465467224414,0.008332341719607677,0.0017873240022556309,0.0019305873441942047,0.00014346909786481366,0.005890871030320328
rule,mean_cross_pair_correlation,2009,2009-2018,2009-04-03T00:00:00+01:00,0,59,0.6703264397074106,0.7714496088688818,0.0023838016026671758,0.0025192292578586884,0.0001357246670145828,0.025475847379908285
rule,mean_cross_pair_correlation,2009,2009-2018,2009-04-03T00:00:00+01:00,1,59,0.772103640866197,0.8129851149955847,-0.0014111815516368593,-0.0012770395275161113,0.00013398740160912756,0.03935210027920004
rule,mean_cross_pair_correlation,2009,2009-2018,2009-04-03T00:00:00+01:00,2,58,0.8133373301162957,0.895035405195292,-5.8288832174942266e-05,8.58601666793455e-05,0.0001441503551076802,0.026513873616917972
rule,mean_cross_pair_correlation,2010,2009-2018,2010-03-31T00:00:00+01:00,0,60,0.3417056699543863,0.7167281795803039,0.00013408529695972614,0.0002748625360750339,0.00014084918395102425,0.023594898470615185
rule,mean_cross_pair_correlation,2010,2009-2018,2010-03-31T00:00:00+01:00,1,59,0.716965174889917,0.7815224306321011,0.0006127183396572746,0.0007490597313524582,0.0001364851173164024,0.027264146910173318
rule,mean_cross_pair_correlation,2010,2009-2018,2010-03-31T00:00:00+01:00,2,59,0.7817285700069819,0.9040402166317825,-0.0006966986199420905,-0.000568541078391485,0.00012802835825577387,0.03589567593290185
rule,mean_cross_pair_correlation,2011,2009-2018,2011-03-31T00:00:00+01:00,0,59,0.39741482321460614,0.5758644300937289,0.00246077274583994,0.002593720502264706,0.00013318073174043582,0.01961661040830262
rule,mean_cross_pair_correlation,2011,2009-2018,2011-03-31T00:00:00+01:00,1,59,0.5870090107946228,0.7459613821348128,0.0006659104098930538,0.0008096409356454484,0.00014379159334661557,0.03130482058438323
rule,mean_cross_pair_correlation,2011,2009-2018,2011-03-31T00:00:00+01:00,2,58,0.7465102730501135,0.8617033566852105,0.0007782313334750829,0.0009336723160138724,0.00015553410424660558,0.017682907868437906
rule,mean_cross_pair_correlation,2012,2009-2018,2012-03-29T00:00:00+01:00,0,60,0.5095846760096392,0.7361382467332154,0.0003317866968286692,0.00046064407365535527,0.0001288183550426872,0.009221324276529209
rule,mean_cross_pair_correlation,2012,2009-2018,2012-03-29T00:00:00+01:00,1,59,0.7433958538433337,0.8307079023861026,0.0009349771077363977,0.0010744302889139886,0.00013964466309376758,0.030159422609717126
rule,mean_cross_pair_correlation,2012,2009-2018,2012-03-29T00:00:00+01:00,2,59,0.8308281238869359,0.8767737917730879,-0.0020343290281591786,-0.001906829849649473,0.00012725555505656023,0.032051657711255406
rule,mean_cross_pair_correlation,2013,2009-2018,2013-04-01T00:00:00+01:00,0,59,0.4804653028330263,0.6527702971811363,0.0007047197698329703,0.0008518563597551672,0.00014725260501993284,0.02251707032575949
rule,mean_cross_pair_correlation,2013,2009-2018,2013-04-01T00:00:00+01:00,1,59,0.655286460865311,0.7510402961658429,0.0009823002344333971,0.0011271444234107815,0.00014489497758790157,0.014893642679391784
rule,mean_cross_pair_correlation,2013,2009-2018,2013-04-01T00:00:00+01:00,2,59,0.752939960506831,0.9250570622653687,0.00010108803860380303,0.00023996686239271227,0.00013888819947422359,0.0231511308065603
rule,mean_cross_pair_correlation,2014,2009-2018,2014-03-31T00:00:00+01:00,0,60,0.22937605356121082,0.4267694114347658,-0.0003700022472480984,-0.00022725304566119004,0.00014269573240722325,0.01809062460228971
rule,mean_cross_pair_correlation,2014,2009-2018,2014-03-31T00:00:00+01:00,1,60,0.4272162150782874,0.595007859874817,0.0005075117149509193,0.0006390383369520747,0.00013148800486024027,0.01435650158389298
rule,mean_cross_pair_correlation,2014,2009-2018,2014-03-31T00:00:00+01:00,2,59,0.5962046021281875,0.7583808513437451,-0.00025204592295405563,-0.00012386017521427034,0.0001280757192578671,0.033616840118070423
rule,mean_cross_pair_correlation,2015,2009-2018,2015-03-31T00:00:00+01:00,0,60,0.12604559911931432,0.31348120591048845,7.142001942268799e-05,0.0002204105744922124,0.00014910056016076477,0.018449812993290248
rule,mean_cross_pair_correlation,2015,2009-2018,2015-03-31T00:00:00+01:00,1,60,0.3138426203100804,0.5138625970415155,0.0005816643410512343,0.0007224504760778574,0.00014071535936445808,0.02309379464020402
