policy,candidate,fold,era,first_timestamp,high_minus_low_next_net_return,high_minus_low_next_gross_return,high_minus_low_next_cost_ratio,high_minus_low_next_drawdown_change,rank_association_next_net_return,rank_association_next_gross_return,rank_association_next_cost_ratio,rank_association_next_drawdown_change
agent,trend_reversal_proxy,2017,2009-2018,2017-03-30T00:00:00+01:00,-0.0009778431633168825,-0.0009772450470416998,4.6847167417051556e-07,0.010540262835396497,-0.057686550737398194,-0.05847457627118645,-0.13305084745762713,0.14887925667729676
agent,trend_reversal_proxy,2018,2009-2018,2018-03-29T00:00:00+01:00,-0.0024169572593401847,-0.002402295378568174,1.4437549093620572e-05,0.021092019328635657,-0.016372690561379282,-0.014583725650199818,0.16974452325654385,0.3243332984162957
agent,trend_reversal_proxy,2019,2019-2025,2019-03-29T00:00:00+00:00,0.00022511248622753303,0.00022922037867119285,4.0882207690535566e-06,-0.027025021852372696,0.005080170949082325,0.005954705089426968,0.12851928177553837,-0.3899637165243529
agent,trend_reversal_proxy,2020,2019-2025,2020-03-30T00:00:00+01:00,0.0003191729032432455,0.00033571261084766574,1.647262294866005e-05,0.00602043381231368,0.07536446598146032,0.07715670236735701,0.20243423150920298,0.24014601704304864
agent,trend_reversal_proxy,2021,2019-2025,2021-03-31T00:00:00+01:00,-0.0023583789909141836,-0.0023538247258367245,4.305133889585393e-06,0.041496856640364316,-0.14991025917915077,-0.1502549660665859,0.06346968760406371,0.3383088440362381
agent,trend_reversal_proxy,2022,2019-2025,2022-03-31T00:00:00+01:00,0.0038036773157511345,0.0037891392795407707,-1.4269193272920802e-05,-0.029867806598621503,0.08837710565952805,0.08705917487578124,-0.2042900919305414,-0.23681990612422688
agent,trend_reversal_proxy,2023,2019-2025,2023-03-30T00:00:00+01:00,-0.0004885747206138134,-0.0004913888793189902,-2.8440653335886387e-06,0.013379245425782178,-0.014372362167780756,-0.014512798307106176,-0.018568423785200797,0.1463714094384458
agent,trend_reversal_proxy,2024,2019-2025,2024-03-28T00:00:00+00:00,0.0005056826636245717,0.000506855202921896,1.2236826502885225e-06,-0.0006907097580837636,0.04186387127822066,0.04257736488607118,-0.026167011905509175,-0.05844482098663128
agent,trend_reversal_proxy,2025,2019-2025,2025-04-01T00:00:00+01:00,0.0017681624554641974,0.001772296568057064,4.4348654706196825e-06,0.0036787579684914697,0.06110538454967396,0.06274552236680998,0.1762544491585751,0.19568259295447904
agent,decision_gross_exposure,2009,2009-2018,2009-04-03T00:00:00+01:00,0.0028698106233599092,0.0029147664768721633,4.525491371056181e-05,-0.020239201074504526,0.034098613251155624,0.0349372661237068,0.42647809817301346,-0.14131434023895942
agent,decision_gross_exposure,2010,2009-2018,2010-03-31T00:00:00+01:00,0.0014456543812522457,0.0014816107370865539,3.6019413766147384e-05,-0.00272476076069339,0.03700598662239382,0.03954234841142257,0.37997657269857615,0.03861641571560971
agent,decision_gross_exposure,2011,2009-2018,2011-03-31T00:00:00+01:00,0.004270402241704616,0.0042904789912864335,2.0490052729863826e-05,-0.013567478021286189,0.10920096852300241,0.11068456966762052,0.27884437596302003,-0.2733658128412258
agent,decision_gross_exposure,2012,2009-2018,2012-03-29T00:00:00+01:00,-0.00034151442925459087,-0.00031681455420071516,2.439255260669953e-05,0.010846117854405344,0.020751567405623193,0.02102180058280998,0.2390701850884482,0.08596714301885458
agent,decision_gross_exposure,2013,2009-2018,2013-04-01T00:00:00+01:00,-0.0012530911558701608,-0.001187632805219073,6.557500862322581e-05,0.009728491059481592,0.011757500735790587,0.013400045013071104,0.46435094614012923,0.09148591123842678
agent,decision_gross_exposure,2014,2009-2018,2014-03-31T00:00:00+01:00,0.0016087046485769143,0.001647741109803198,3.9172588656255316e-05,0.013849087160000117,-0.02212248655660871,-0.021241604419057182,0.4160002510827946,0.0767550701638502
agent,decision_gross_exposure,2015,2009-2018,2015-03-31T00:00:00+01:00,-0.005293416410509318,-0.0052228150891349915,6.918580217669486e-05,0.062063669772465094,-0.013663088736844306,-0.012451614253133302,0.5019689075806081,0.3116230103506683
agent,decision_gross_exposure,2016,2009-2018,2016-03-30T00:00:00+01:00,0.003745055452239519,0.003762149900048352,1.7323405394043906e-05,0.00936897913687727,0.04892816372300461,0.048179170979935716,0.32232328186490683,-0.031965611631021865
agent,decision_gross_exposure,2017,2009-2018,2017-03-30T00:00:00+01:00,2.6418679417813842e-06,1.7947351149750698e-05,1.532180077642279e-05,-0.0019148940114407063,0.027955095751705922,0.029790887079022672,0.30593220338983057,-0.12042012198005414
agent,decision_gross_exposure,2018,2009-2018,2018-03-29T00:00:00+01:00,0.002929572149371366,0.0029729351550684176,4.3914624799274696e-05,0.0074675955433274425,0.11258761743351538,0.1140878371309606,0.3373611198292637,0.11897411196168774
agent,decision_gross_exposure,2019,2019-2025,2019-03-29T00:00:00+00:00,-0.0009596035832981464,-0.0009477449552175763,1.1800255597228579e-05,0.008116119298637925,-0.049009020894131367,-0.04685992239839392,0.25396918277869923,0.0030490109894202454
agent,decision_gross_exposure,2020,2019-2025,2020-03-30T00:00:00+01:00,-0.0006194207207506214,-0.0005807988311171745,3.863053391148802e-05,0.0017864304906503106,-0.08676811012685576,-0.08354373077358354,0.45782071463111,0.011159102090969056
agent,decision_gross_exposure,2021,2019-2025,2021-03-31T00:00:00+01:00,-0.0030884088069544798,-0.0030695962713279644,1.8490967584690478e-05,0.02425407412730428,-0.17650801283926765,-0.1757419975338563,0.24024474189007894,0.30834223729742305
agent,decision_gross_exposure,2022,2019-2025,2022-03-31T00:00:00+01:00,0.0006733329800153831,0.0007121682920389019,3.8708486570149714e-05,0.01203298621707042,0.0684999394054812,0.0710232682952165,0.4689582936583508,-0.06026175318168753
agent,decision_gross_exposure,2023,2019-2025,2023-03-30T00:00:00+01:00,-0.0001960207642802679,-0.00018101031726803108,1.5038866157460812e-05,-0.005343629543823683,-0.021600567702454124,-0.019889800187035407,0.33462633879793047,-0.0777151408906996
agent,decision_gross_exposure,2024,2019-2025,2024-03-28T00:00:00+00:00,0.001561690932652132,0.0015790014516304644,1.753984759747472e-05,-0.012411791265987883,0.13886552423995147,0.14105203690917079,0.23259682380264893,-0.29979215126250514
agent,decision_gross_exposure,2025,2019-2025,2025-04-01T00:00:00+01:00,0.001831492550219463,0.0018568323419124798,2.5601766523181084e-05,-0.0015231064174416088,0.09327942139582561,0.09631367635752726,0.29332156382584923,-0.12897038816885764
agent,decision_turnover,2009,2009-2018,2009-04-03T00:00:00+01:00,-0.011030234285227203,-0.010973301893197552,5.5152071706597e-05,0.012376192854152701,-0.0988201628879595,-0.09915914593880695,0.38078802553378827,0.04851192796796321
agent,decision_turnover,2010,2009-2018,2010-03-31T00:00:00+01:00,-0.000495493958120162,-0.0004592607347776214,3.62998611382977e-05,0.0005528756938561197,-0.04945160751503571,-0.04748124592389425,0.5304794298292743,-0.0019909210495489553
agent,decision_turnover,2011,2009-2018,2011-03-31T00:00:00+01:00,-0.0013217559004321303,-0.0012857808122028953,3.579872018590951e-05,-0.0035800662107007934,-0.06507814219678627,-0.06374862425709883,0.5907836231565046,-0.0384338669636007
agent,decision_turnover,2012,2009-2018,2012-03-29T00:00:00+01:00,-0.0025524288451008468,-0.0025047907789979566,4.7423428181869474e-05,0.011062728733338946,-0.023466666099247923,-0.021896334723154623,0.4365574421046696,0.19066175748920303
agent,decision_turnover,2013,2009-2018,2013-04-01T00:00:00+01:00,0.002940618775346949,0.0029915199325161726,5.1243685171929254e-05,0.009902438224344168,0.08646621422759303,0.08867142189366528,0.4717802669621371,0.10515823219409944
