scope,feature,fold_count,mean_standardized_coefficient,sign,mean_absolute_magnitude,positive_fold_fraction,negative_fold_fraction
aggregate,log_return_lag_15,17,0.0005241604168504596,positive,0.0009118920327828358,0.9411764705882353,0.058823529411764705
aggregate,volatility_lag_15,17,-0.00047013998915561864,negative,0.00047013998915561864,0.0,1.0
aggregate,sma20_ratio_lag_15,17,-0.0032190826260253555,negative,0.003558228589844859,0.058823529411764705,0.9411764705882353
aggregate,mom24_lag_15,17,-0.0003274762396829547,negative,0.0004418785490333096,0.058823529411764705,0.9411764705882353
aggregate,xz_mom24_lag_15,17,-0.00012889541154065737,negative,0.0001312355758548978,0.058823529411764705,0.9411764705882353
aggregate,xr_mom24_lag_15,17,-1.1448847149825315e-05,negative,2.9749171778575904e-05,0.4117647058823529,0.5882352941176471
aggregate,carry_annual_lag_15,17,-0.0012042142625855853,negative,0.0012095861299035394,0.058823529411764705,0.9411764705882353
aggregate,xz_carry_lag_15,17,-0.0009215456166288059,negative,0.001180771631256383,0.35294117647058826,0.6470588235294118
aggregate,log_return_lag_14,17,-0.0009461853398064772,negative,0.0009461853398064772,0.0,1.0
aggregate,volatility_lag_14,17,-0.0003110666927856896,negative,0.0003455529537408415,0.29411764705882354,0.7058823529411765
aggregate,sma20_ratio_lag_14,17,0.00116168910842024,positive,0.0016238654818325222,0.8823529411764706,0.11764705882352941
aggregate,mom24_lag_14,17,0.00023259169227299737,positive,0.0002835872356610791,0.5294117647058824,0.47058823529411764
aggregate,xz_mom24_lag_14,17,-2.9386454230078026e-05,negative,0.00010161489659790121,0.058823529411764705,0.9411764705882353
aggregate,xr_mom24_lag_14,17,9.196095224956735e-05,positive,0.00011631579691068885,0.9411764705882353,0.058823529411764705
aggregate,carry_annual_lag_14,17,4.0668929746153165e-05,positive,0.00047595419772903725,0.7058823529411765,0.29411764705882354
aggregate,xz_carry_lag_14,17,0.004452111963477004,positive,0.004452111963477004,1.0,0.0
aggregate,log_return_lag_13,17,-0.0003349544057402121,negative,0.0004938091554922688,0.29411764705882354,0.7058823529411765
aggregate,volatility_lag_13,17,7.082364440214397e-05,positive,0.0003707263526881879,0.4117647058823529,0.5882352941176471
aggregate,sma20_ratio_lag_13,17,-0.004150704971417489,negative,0.004150704971417489,0.0,1.0
aggregate,mom24_lag_13,17,-0.000519511414339296,negative,0.0005793238185511505,0.058823529411764705,0.9411764705882353
