scenario,fold,policy,status,result_path,pairs_path,coverage.measurement_start,coverage.measurement_end,coverage.first_decision,coverage.last_mark,coverage.planned_last_mark,coverage.initial_flat_seconds,coverage.trailing_coverage_gap_seconds,coverage.elapsed_seconds,metrics.steps,metrics.cumulative_log_return,metrics.gross_cumulative_log_return,metrics.annualized_net_return,metrics.annualized_gross_return,metrics.final_equity_ratio,metrics.sharpe_annualized,metrics.max_drawdown,metrics.total_cost_ratio,metrics.mean_gross_leverage,metrics.mean_weight_turnover,metrics.total_weight_turnover,metrics.terminated_by_margin_call,metrics.eval_start,metrics.eval_end,metrics.annualized_gross_minus_net,metrics.total_price_pnl_jpy,metrics.total_financing_jpy,metrics.total_spread_jpy,metrics.total_commission_jpy,metrics.total_overnight_jpy,metrics.total_actual_traded_notional_jpy,metrics.mean_target_gross_exposure,metrics.mean_target_net_exposure,metrics.period_net_return,metrics.period_gross_return,metrics.annualized_net_volatility
F1,2013,canonical,complete,fold-2013/F1-canonical.json.gz,fold-2013/F1-canonical-pairs.csv.gz,2013-04-15T23:00:00+00:00,2013-10-07T23:00:00+00:00,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.0,86400.0,15033600.0,124,0.09610146340306366,0.12023354416208319,0.2235178915630424,0.28709378005297964,1.100870756420818,1.369356571801379,0.06972000981545068,0.02508693675743227,3.1984462530913205,1.3419355038673646,166.40000247955322,False,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.06357588848993725,119700.05580116602,6257.63737708347,13522.05114074259,0.0,11564.88561668968,176523324.9933647,3.200000047683716,0.0,0.100870756420818,0.12776020263768334,0.14672230464799405
F1,2013,ridge,complete,fold-2013/F1-ridge.json.gz,fold-2013/F1-ridge-pairs.csv.gz,2013-04-15T23:00:00+00:00,2013-10-07T23:00:00+00:00,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.0,86400.0,15033600.0,124,0.0011036103946144241,0.06243899135757969,0.0023193159020581332,0.14004536461230613,1.001104219596653,0.01777909351177968,0.08132342937963899,0.06243734984436284,3.2001820476479876,5.406451693465633,670.4000099897385,False,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.137726048710248,61105.6953834927,2435.8740575229976,51108.59900635194,0.0,11328.750838010896,683077454.042783,3.200000047683716,0.0,0.0011042195966530777,0.06442951753706978,0.12977434859771958
F1,2013,ppo_ens3,complete,fold-2013/F1-ppo_ens3.json.gz,fold-2013/F1-ppo_ens3-pairs.csv.gz,2013-04-15T23:00:00+00:00,2013-10-07T23:00:00+00:00,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.0,86400.0,15033600.0,124,0.175971632818438,0.19653213291195615,0.44684992723759903,0.5106621352247769,1.1924042330235298,1.152992542141076,0.16908233435553843,0.02464047519615441,2.7742952864009935,1.1731343897304505,145.46866432657586,False,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.06381220798717785,218495.11523982818,-1450.40702014318,13132.375092690878,0.0,11508.10010346353,175446593.55580953,2.778392546387735,0.22563910756763372,0.19240423302352982,0.217174431608666,0.31907946493260725
F2,2013,canonical,complete,fold-2013/F2-canonical.json.gz,fold-2013/F2-canonical-pairs.csv.gz,2013-04-15T23:00:00+00:00,2013-10-07T23:00:00+00:00,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.0,86400.0,15033600.0,124,0.09146599895486611,0.12023354416208284,0.2116702113890499,0.2870937800529787,1.0957795184102732,1.3026706086660333,0.07034526908822047,0.02982386507449704,3.198566060724187,1.3419355038673646,166.40000247955322,False,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.0754235686639288,119350.6403621889,6252.743122580583,6746.155224926741,0.0,23077.7098495703,176130114.5085814,3.200000047683716,0.0,0.09577951841027321,0.12776020263768295,0.1467938148022548
F2,2013,ridge,complete,fold-2013/F2-ridge.json.gz,fold-2013/F2-ridge-pairs.csv.gz,2013-04-15T23:00:00+00:00,2013-10-07T23:00:00+00:00,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.0,86400.0,15033600.0,124,0.015081371375009745,0.062438991357578334,0.032164319499041236,0.14004536461230288,1.0151956691223527,0.24295642168677276,0.07804432282022633,0.04854660933908809,3.199821315058542,5.406451693465633,670.4000099897385,False,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.10788104511326164,61293.097144262305,2449.1813171793774,25731.174583896664,0.0,22815.43475519142,687803035.8371649,3.200000047683716,0.0,0.015195669122352706,0.06442951753706835,0.12977622629718608
F2,2013,ppo_ens3,complete,fold-2013/F2-ppo_ens3.json.gz,fold-2013/F2-ppo_ens3-pairs.csv.gz,2013-04-15T23:00:00+00:00,2013-10-07T23:00:00+00:00,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.0,86400.0,15033600.0,124,0.17167830410629983,0.19653213291195748,0.4338690787765359,0.5106621352247811,1.1872958235806823,1.1251723752785876,0.1702227083402864,0.029521528513092365,2.7744427609289777,1.1731343897304505,145.46866432657586,False,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.07679305644824519,218254.97900980536,-1437.6269160294632,6552.883601312035,0.0,22968.644911780324,175090754.45755485,2.778392546387735,0.22563910756763372,0.1872958235806823,0.21717443160866762,0.3189914501919345
F0,2014,canonical,complete,fold-2014/F0-canonical.json.gz,fold-2014/F0-canonical-pairs.csv.gz,2014-01-06T00:00:00+00:00,2015-01-01T00:00:00+00:00,2014-01-06T00:00:00+00:00,2014-12-31T00:00:00+00:00,2014-12-31T00:00:00+00:00,0.0,86400.0,31017600.0,257,0.034509297514451885,0.0701956130161177,0.035733722430916735,0.074029734532465,1.035111652296922,0.3157385541835377,0.11866237798190249,0.03862505349141147,3.1993715369046356,1.3011673345640011,334.4000049829483,False,2014-01-06T00:00:00+00:00,2014-12-31T00:00:00+00:00,0.03829601210154827,72691.16826808431,1045.5375202498728,13769.926058053361,0.0,24855.127433358106,366316395.4815525,3.200000047683716,0.0,0.035111652296921925,0.0727179983351695,0.11098331679398626
F0,2014,ridge,complete,fold-2014/F0-ridge.json.gz,fold-2014/F0-ridge-pairs.csv.gz,2014-01-06T00:00:00+00:00,2015-01-01T00:00:00+00:00,2014-01-06T00:00:00+00:00,2014-12-31T00:00:00+00:00,2014-12-31T00:00:00+00:00,0.0,86400.0,31017600.0,257,0.06280578970381065,0.13889164884694052,0.0659849476736,0.15178127517238338,1.0648200201372575,0.7012973309639594,0.08815397111605539,0.07530181722180956,3.198664989587096,5.453696579320885,1401.6000208854675,False,2014-01-06T00:00:00+00:00,2014-12-31T00:00:00+00:00,0.08579632749878338,143972.25987947136,-3850.422520405599,52563.83436862153,0.0,22737.982853188056,1387729456.665317,3.200000047683716,0.0,0.06482002013725752,0.14899959782746025,0.09093827077283363
F0,2014,ppo_ens3,complete,fold-2014/F0-ppo_ens3.json.gz,fold-2014/F0-ppo_ens3-pairs.csv.gz,2014-01-06T00:00:00+00:00,2015-01-01T00:00:00+00:00,2014-01-06T00:00:00+00:00,2014-12-31T00:00:00+00:00,2014-12-31T00:00:00+00:00,0.0,86400.0,31017600.0,257,-0.01693282373126083,0.013484963317205188,-0.017080068375976632,0.013814276772312735,0.9832097307776179,-0.09785360914157197,0.17017007299894882,0.03122245586962632,2.6006240531644487,1.1998268991735568,308.3555130876041,False,2014-01-06T00:00:00+00:00,2014-12-31T00:00:00+00:00,0.030894345148289367,6274.028858547663,8158.157788694757,12158.107681356882,0.0,19064.348188269447,315918788.13597316,2.600892806318901,-1.071938421290933,-0.016790269222382137,0.013576295510375824,0.17571212705395145
F1,2014,canonical,complete,fold-2014/F1-canonical.json.gz,fold-2014/F1-canonical-pairs.csv.gz,2014-01-06T00:00:00+00:00,2015-01-01T00:00:00+00:00,2014-01-06T00:00:00+00:00,2014-12-31T00:00:00+00:00,2014-12-31T00:00:00+00:00,0.0,86400.0,31017600.0,257,0.021798902457797226,0.07019561301611767,0.02242617906242889,0.07402973453246497,1.0220382344263452,0.1994372513761707,0.12380736199558728,0.05204195886244639,3.199529764280332,1.3011673345640011,334.4000049829483,False,2014-01-06T00:00:00+00:00,2014-12-31T00:00:00+00:00,0.05160355547003609,73080.180266865,1000.0130219260454,27365.885781372195,0.0,24676.073081074206,363978007.9702532,3.200000047683716,0.0,0.022038234426345227,0.07271799833516947,0.11098838831432252
F1,2014,ridge,complete,fold-2014/F1-ridge.json.gz,fold-2014/F1-ridge-pairs.csv.gz,2014-01-06T00:00:00+00:00,2015-01-01T00:00:00+00:00,2014-01-06T00:00:00+00:00,2014-12-31T00:00:00+00:00,2014-12-31T00:00:00+00:00,0.0,86400.0,31017600.0,257,0.009658306019984284,0.13889164884694252,0.009874890124008665,0.15178127517238577,1.0097050979799373,0.1077630295652247,0.10938435081092313,0.12454915651719213,3.1993265115396605,5.453696579320885,1401.6000208854675,False,2014-01-06T00:00:00+00:00,2014-12-31T00:00:00+00:00,0.1419063850483771,138010.4299202749,-3756.1754231468985,102410.47458607983,0.0,22138.681931112296,1351505891.7189744,3.200000047683716,0.0,0.00970509797993735,0.14899959782746253,0.09100816682334294
F1,2014,ppo_ens3,complete,fold-2014/F1-ppo_ens3.json.gz,fold-2014/F1-ppo_ens3-pairs.csv.gz,2014-01-06T00:00:00+00:00,2015-01-01T00:00:00+00:00,2014-01-06T00:00:00+00:00,2014-12-31T00:00:00+00:00,2014-12-31T00:00:00+00:00,0.0,86400.0,31017600.0,257,-0.028781759565539564,0.013484963317203613,-0.028858247031862575,0.013814276772311111,0.9716284899532777,-0.16631158224350848,0.17250764342321667,0.043118931397902224,2.6007385314814524,1.1998268991735568,308.3555130876041,False,2014-01-06T00:00:00+00:00,2014-12-31T00:00:00+00:00,0.04267252380417369,6667.680599025079,8079.74075215557,24174.206337676485,0.0,18944.725060225745,314068937.3264215,2.600892806318901,-1.071938421290933,-0.028371510046722337,0.013576295510374228,0.17572924477136456
