decision_index,decision_timestamp,target_timestamp,pair,state,score,score_changed,rank,target_weight,previous_weight,marked_exposure_jpy,signed_trade_jpy,signed_target_change_jpy,signed_drift_jpy,traded_notional_jpy,spread_jpy,commission_jpy,trading_cost_jpy,overnight_jpy,cost_jpy,cost_ratio,price_simple_contribution,carry_simple_contribution,gross_simple_contribution,net_simple_contribution,fold,era,policy
6,2009-04-13T00:00:00+01:00,2009-04-14T00:00:00+01:00,JPY/EUR,entry,0.005263528276846762,True,8,0.800000011920929,0.0,0.0,801278.776307792,801278.776307792,0.0,801278.776307792,20.031969407694802,0.0,20.031969407694802,16.025575526155844,36.05754493385065,3.600000053644181e-05,0.014257133919424635,-6.469440336813769e-06,0.014250664479087821,0.01421466447855138,2009,2009-2018,supervised
6,2009-04-13T00:00:00+01:00,2009-04-14T00:00:00+01:00,JPY/GBP,inactive,0.0011754507151065401,True,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2009,2009-2018,supervised
6,2009-04-13T00:00:00+01:00,2009-04-14T00:00:00+01:00,JPY/AUD,inactive,0.005103129357870258,True,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2009,2009-2018,supervised
6,2009-04-13T00:00:00+01:00,2009-04-14T00:00:00+01:00,JPY/CHF,retained,0.0008148897201075914,True,2,-0.800000011920929,-0.800000011920929,-782208.4639964105,-19070.312311381567,0.0,-19070.312311381567,19070.312311381567,0.6674609308983548,0.0,0.6674609308983548,16.025575526155844,16.6930364570542,1.6666395965428736e-05,-0.011654268725817101,-1.3342196671701657e-05,-0.011667610922488802,-0.011684277318454232,2009,2009-2018,supervised
6,2009-04-13T00:00:00+01:00,2009-04-14T00:00:00+01:00,JPY/CAD,inactive,0.0010666075989968844,True,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2009,2009-2018,supervised
6,2009-04-13T00:00:00+01:00,2009-04-14T00:00:00+01:00,JPY/NZD,retained,0.007551792705806414,True,9,0.800000011920929,0.800000011920929,784630.4407309375,16648.33557685453,0.0,16648.33557685453,16648.33557685453,0.6659334230741812,0.0,0.6659334230741812,16.025575526155844,16.691508949230027,1.6664870895361142e-05,0.02023893630064748,-6.045048686893261e-05,0.020178485813778547,0.020161820942883185,2009,2009-2018,supervised
6,2009-04-13T00:00:00+01:00,2009-04-14T00:00:00+01:00,JPY/NOK,exit,0.00271211799336202,True,5,0.0,-0.800000011920929,-786124.8733134805,786124.8733134805,801278.776307792,-15153.902994311531,786124.8733134805,47.16749239880883,0.0,47.16749239880883,0.0,47.16749239880883,4.709221758649549e-05,0.0,-0.0,0.0,-4.709221758649549e-05,2009,2009-2018,supervised
6,2009-04-13T00:00:00+01:00,2009-04-14T00:00:00+01:00,JPY/SEK,exit,0.00427150920839908,True,6,0.0,0.800000011920929,790301.4037806704,-790301.4037806704,-801278.776307792,10977.372527121683,790301.4037806704,47.41808422684022,0.0,47.41808422684022,0.0,47.41808422684022,4.734240949390649e-05,0.0,-0.0,0.0,-4.734240949390649e-05,2009,2009-2018,supervised
7,2009-04-14T00:00:00+01:00,2009-04-15T00:00:00+01:00,JPY/USD,reversal,-0.0003671762799933087,True,8,0.800000011920929,-0.800000011920929,-809779.7264622115,1622333.7262045732,1625107.9994847237,-2774.2732801503735,1622333.7262045732,24.335005893068598,0.0,24.335005893068598,16.251079994847238,40.586085887915836,3.995902943613777e-05,-0.0020961574629364196,1.0711585991353873e-05,-0.0020854458769450656,-0.002125404906381203,2009,2009-2018,supervised
7,2009-04-14T00:00:00+01:00,2009-04-15T00:00:00+01:00,JPY/EUR,exit,-0.003532628526510841,True,3,0.0,0.800000011920929,815558.6996207708,-815558.6996207708,-812553.9997423618,-3004.699878408923,815558.6996207708,20.38896749051927,0.0,20.38896749051927,0.0,20.38896749051927,2.007395722701835e-05,0.0,-0.0,0.0,-2.007395722701835e-05,2009,2009-2018,supervised
7,2009-04-14T00:00:00+01:00,2009-04-15T00:00:00+01:00,JPY/GBP,entry,0.000878662428854931,True,9,0.800000011920929,0.0,0.0,812553.9997423618,812553.9997423618,0.0,812553.9997423618,24.376619992270857,0.0,24.376619992270857,16.251079994847238,40.62769998711809,4.000000059604645e-05,-0.00695590131892821,-2.9991841901172324e-05,-0.006985893160829382,-0.007025893161425429,2009,2009-2018,supervised
7,2009-04-14T00:00:00+01:00,2009-04-15T00:00:00+01:00,JPY/AUD,inactive,-0.0027560257415424005,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2009,2009-2018,supervised
7,2009-04-14T00:00:00+01:00,2009-04-15T00:00:00+01:00,JPY/CHF,exit,-0.0009570865210012375,True,6,0.0,-0.800000011920929,-812951.6738630835,812951.6738630835,812553.9997423618,397.67412072164007,812951.6738630835,28.453308585207918,0.0,28.453308585207918,0.0,28.453308585207918,2.8013703968688363e-05,0.0,0.0,0.0,-2.8013703968688363e-05,2009,2009-2018,supervised
7,2009-04-14T00:00:00+01:00,2009-04-15T00:00:00+01:00,JPY/CAD,inactive,-0.0005733988992600755,True,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2009,2009-2018,supervised
7,2009-04-14T00:00:00+01:00,2009-04-15T00:00:00+01:00,JPY/NZD,exit,-0.0028285755183076254,True,4,0.0,0.800000011920929,821550.063646669,-821550.063646669,-812553.9997423618,-8996.0639043072,821550.063646669,32.862002545866766,0.0,32.862002545866766,0.0,32.862002545866766,3.2354283452884003e-05,0.0,-0.0,0.0,-3.2354283452884003e-05,2009,2009-2018,supervised
