decision_index,decision_timestamp,target_timestamp,state,score_correlation,score_correlation_status,rank_correlation,rank_correlation_status,score_changed_pairs,original_rank_churn,rank_churn,membership_exit_rate,entries,exits,reversals,bottom_boundary_gap,top_boundary_gap,weight_turnover,traded_notional_jpy,traded_notional_over_equity,spread_jpy,commission_jpy,trading_cost_jpy,overnight_jpy,cost_jpy,cost_ratio,cost_residual_ratio,price_simple_return,carry_simple_return,gross_simple_return,net_simple_return,fold,era,policy
87,2017-08-01T00:00:00+01:00,2017-08-02T00:00:00+01:00,membership_retained,0.9858231685226805,defined,0.9666666666666667,defined,9.0,0.05555555555555555,0.05555555555555555,0.0,0,0,0,0.024941673044688126,0.0159189211734169,0.0,11472.194043418393,0.012585846250058643,0.3929348874121823,0.0,0.3929348874121823,58.33699340766164,58.72992829507382,6.44310796174885e-05,0.0,0.008859334109991367,1.4247621500075357e-06,0.008860758872141373,0.008796327792523817,2017,2009-2018,reversal
88,2017-08-02T00:00:00+01:00,2017-08-03T00:00:00+01:00,membership_retained,0.9889620158262147,defined,0.9500000000000001,defined,9.0,0.08333333333333333,0.08333333333333333,0.0,0,0,0,0.02163546157572943,0.010637611318385254,0.0,22409.912966920412,0.024370958779769747,0.8255997636578366,0.0,0.8255997636578366,58.85014472410573,59.675744487763566,6.489784727009657e-05,0.0,-0.006884918556178355,1.360829742577791e-06,-0.006883557726435778,-0.006948455573705936,2017,2009-2018,reversal
89,2017-08-03T00:00:00+01:00,2017-08-04T00:00:00+01:00,membership_retained,0.9780968589796032,defined,0.9500000000000001,defined,9.0,0.05555555555555555,0.05555555555555555,0.0,0,0,0,0.014279379501762519,0.011614650608360273,0.0,13292.106593807926,0.014556416365251644,0.49318160698513036,0.0,0.49318160698513036,58.44122710798412,58.934408714969244,6.45400926813696e-05,0.0,0.0015722861765432444,1.4541731079097442e-06,0.001573740349651154,0.0015092002569698781,2017,2009-2018,reversal
90,2017-08-04T00:00:00+01:00,2017-08-07T00:00:00+01:00,membership_retained,0.9828991745241757,defined,0.9666666666666667,defined,9.0,0.05555555555555555,0.05555555555555555,0.0,0,0,0,0.01019259479321574,0.006289982030848476,0.0,15780.008675486315,0.017254919936018288,0.6756153957770358,0.0,0.6756153957770358,175.5882798688594,176.26389526463643,0.000192738766051932,0.0,0.005692687895683914,4.004459060804687e-06,0.0056966923547447194,0.005503953588692934,2017,2009-2018,reversal
91,2017-08-07T00:00:00+01:00,2017-08-08T00:00:00+01:00,membership_retained,0.9916020480555835,defined,0.9833333333333333,defined,9.0,0.027777777777777776,0.027777777777777776,0.0,0,0,0,0.0023279132459386107,0.0023741048897797414,0.0,26946.536396255717,0.02930386324186061,1.0173275219776587,0.0,1.0173275219776587,58.85156987065865,59.86889739263631,6.510632594245309e-05,1.3552527156068805e-20,-0.003497834966418207,1.4659663494154458e-06,-0.0034963690000687914,-0.003561475326011254,2017,2009-2018,reversal
92,2017-08-08T00:00:00+01:00,2017-08-09T00:00:00+01:00,membership_retained,0.9898178642245264,defined,0.9833333333333333,defined,9.0,0.027777777777777776,0.027777777777777776,0.0,0,0,0,0.006818216540891087,0.0036632393378279674,0.0,9177.293113255175,0.010015808701699127,0.33853320662557906,0.0,0.33853320662557906,58.641971456667285,58.98050466329287,6.436946543463738e-05,1.3552527156068805e-20,0.006521723744067358,1.4275208488188697e-06,0.006523151264916176,0.006458781799481672,2017,2009-2018,reversal
93,2017-08-09T00:00:00+01:00,2017-08-10T00:00:00+01:00,membership_retained,0.9874984589478327,defined,0.9833333333333333,defined,9.0,0.027777777777777776,0.027777777777777776,0.0,0,0,0,0.0038646591632868037,0.004070718966672987,0.0,5975.730186702567,0.006479871666882279,0.3190925526735612,0.0,0.3190925526735612,59.02072715459732,59.33981970727088,6.434601369631514e-05,0.0,0.007227043249703659,1.6126471547098638e-06,0.0072286558968583685,0.00716430988316219,2017,2009-2018,reversal
94,2017-08-10T00:00:00+01:00,2017-08-11T00:00:00+01:00,membership_retained,0.9821320362732565,defined,0.9833333333333333,defined,9.0,0.027777777777777776,0.027777777777777776,0.0,0,0,0,0.005281076944633745,0.00039013688388506336,0.0,27166.574705329724,0.029248929850534216,1.1084972812377805,0.0,1.1084972812377805,59.44356993346242,60.5520672147002,6.519346606917418e-05,0.0,-0.0019005333488483506,1.385811658273762e-06,-0.001899147537190077,-0.0019643410032592623,2017,2009-2018,reversal
95,2017-08-11T00:00:00+01:00,2017-08-14T00:00:00+01:00,membership_changed,0.984861297692594,defined,0.9,defined,9.0,0.1111111111111111,0.1111111111111111,0.5,2,2,0,0.0012019535202843767,0.000883071250394347,3.200000047683716,2993438.808793663,3.2292333072304964,108.6373174581556,0.0,108.6373174581556,177.98040747498604,286.61772493314163,0.00030919472984641453,0.0,-0.002250721034547383,-9.303483717627282e-05,-0.002343755871723655,-0.0026529506015701143,2017,2009-2018,reversal
96,2017-08-14T00:00:00+01:00,2017-08-15T00:00:00+01:00,membership_changed,0.9839225736716345,defined,0.9500000000000001,defined,9.0,0.05555555555555555,0.05555555555555555,0.25,1,1,0,0.0046552877363604875,0.002130819650337795,1.600000023841858,1481321.661637105,1.60225673181117,40.753085286734205,0.0,40.753085286734205,59.16941141530252,99.92249670203672,0.00010808016729012063,2.710505431213761e-20,-0.00014542591202561326,-5.1103801659378435e-05,-0.0001965297136849913,-0.0003046098809751374,2017,2009-2018,reversal
