fold,era,policy,state,pair_observations,traded_notional_jpy,spread_jpy,commission_jpy,trading_cost_jpy,overnight_jpy,cost_jpy,cost_share,trading_cost_share_of_total,overnight_share_of_total,share_of_trading_cost,notional_share,mean_price_simple_contribution,mean_carry_simple_contribution,mean_gross_simple_contribution,mean_net_simple_contribution
2011,2009-2018,supervised,reversal,206,337814138.8422132,13232.646566997348,0.0,13232.646566997348,5072.940561731717,18305.587128729057,0.3292616757181414,0.23801494878017393,0.0912467269379676,0.3513829359010959,0.3368135101770226,-0.00022885224814200365,-5.138159099601789e-07,-0.00022936606405196376,-0.00031616191511090575
2011,2009-2018,supervised,retained,166,1340704.3961562626,54.502198216815884,0.0,54.502198216815884,3510.672011296341,3565.1742095131567,0.06412660933497757,0.000980328300261246,0.06314628103471634,0.0014472647119777092,0.0013367331377153373,4.3262037198418845e-05,-1.39655661346718e-05,2.9296471063747165e-05,8.250699916368917e-06
2011,2009-2018,supervised,inactive,571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,2009-2018,reversal,initial_entry,4,3200000.047683716,80.0000011920929,0.0,80.0000011920929,64.00000095367432,144.0000021457672,0.0048337146607641155,0.002685397033757842,0.0021483176270062736,0.00724654345570956,0.0110407240910932,-0.0012320811389797156,-2.328369228622221e-05,-0.0012553648312659382,-0.0012913648318023797
2011,2009-2018,reversal,entry,163,140637471.9412434,5397.25012951574,0.0,5397.25012951574,4242.948567988691,9640.198697504431,0.32359700751696147,0.18117199090346064,0.1424250166135008,0.48889258777580596,0.4852310941982839,-0.000384722549903715,4.5944938354581685e-07,-0.0003842631005201692,-0.0004390442874305419
2011,2009-2018,reversal,exit,163,140278830.11955914,5361.267291766329,0.0,5361.267291766329,0.0,5361.267291766329,0.17996413834947836,0.17996413834947836,0.0,0.48563319785673903,0.48399369877899034,0.0,0.0,0.0,-3.040368182595964e-05
2011,2009-2018,reversal,reversal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2011,2009-2018,reversal,retained,613,5719764.917699806,201.22886222669206,0.0,201.22886222669206,14444.058687237834,14645.287549464527,0.4916051394727962,0.0067547422709718,0.4848503972018244,0.018227670911745486,0.019734482931632654,0.0004819989144901902,-5.195258493936623e-06,0.0004768036559962535,0.00045441048787496247
2011,2009-2018,reversal,inactive,812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,2009-2018,supervised,initial_entry,4,3200000.047683716,116.0000017285347,0.0,116.0000017285347,64.00000095367432,180.00000268220901,0.003232113995416476,0.0020829179081572843,0.0011491960872591913,0.0030692670654374516,0.003120644021509054,-0.0005241598747212023,2.4158733973803605e-05,-0.0005000011407473989,-0.0005450011414179512
